Name,Resource type,Project Id,Display name,Create time,Update time,Status,Folders,Organization,Parent asset type,Parent full resource name,KMS keys,Direct tags,Description,Location,Labels,Network tags,Additional attributes
"//serviceusage.googleapis.com/projects/695404778709/services/oslogin.googleapis.com","serviceusage.Service","prj-p-bu2env-kms-ggzm","oslogin.googleapis.com","null","null","ENABLED","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2env-kms-ggzm","[]","[]","","global","{}","[]","null"
"//logging.googleapis.com/projects/695404778709/sinks/_Default","logging.LogSink","prj-p-bu2env-kms-ggzm","_Default","null","null","","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2env-kms-ggzm","[]","[]","","global","{}","[]","null"
"//serviceusage.googleapis.com/projects/695404778709/services/secretmanager.googleapis.com","serviceusage.Service","prj-p-bu2env-kms-ggzm","secretmanager.googleapis.com","null","null","ENABLED","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2env-kms-ggzm","[]","[]","","global","{}","[]","null"
"//serviceusage.googleapis.com/projects/695404778709/services/compute.googleapis.com","serviceusage.Service","prj-p-bu2env-kms-ggzm","compute.googleapis.com","null","null","ENABLED","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2env-kms-ggzm","[]","[]","","global","{}","[]","null"
"//cloudkms.googleapis.com/projects/prj-p-bu2env-kms-ggzm/locations/northamerica-northeast2/keyRings/sample-keyring/cryptoKeys/crypto-key-example/cryptoKeyVersions/1","cloudkms.CryptoKeyVersion","prj-p-bu2env-kms-ggzm","projects/prj-p-bu2env-kms-ggzm/locations/northamerica-northeast2/keyRings/sample-keyring/cryptoKeys/crypto-key-example/cryptoKeyVersions/1","2024-03-18T19:59:10Z","null","ENABLED","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudkms.googleapis.com/CryptoKey","//cloudkms.googleapis.com/projects/prj-p-bu2env-kms-ggzm/locations/northamerica-northeast2/keyRings/sample-keyring/cryptoKeys/crypto-key-example","[]","[]","","northamerica-northeast2","{}","[]","null"
"//cloudkms.googleapis.com/projects/prj-p-bu2env-kms-ggzm/locations/northamerica-northeast2/keyRings/sample-keyring/cryptoKeys/crypto-key-example","cloudkms.CryptoKey","prj-p-bu2env-kms-ggzm","projects/prj-p-bu2env-kms-ggzm/locations/northamerica-northeast2/keyRings/sample-keyring/cryptoKeys/crypto-key-example","2024-03-18T19:59:10Z","null","ENABLED","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudkms.googleapis.com/KeyRing","//cloudkms.googleapis.com/projects/prj-p-bu2env-kms-ggzm/locations/northamerica-northeast2/keyRings/sample-keyring","[]","[]","","northamerica-northeast2","{}","[]","null"
"//cloudkms.googleapis.com/projects/prj-p-bu2env-kms-ggzm/locations/northamerica-northeast2/keyRings/sample-keyring","cloudkms.KeyRing","prj-p-bu2env-kms-ggzm","projects/prj-p-bu2env-kms-ggzm/locations/northamerica-northeast2/keyRings/sample-keyring","2024-03-18T19:59:09Z","null","","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2env-kms-ggzm","[]","[]","","northamerica-northeast2","{}","[]","null"
"//iam.googleapis.com/projects/prj-p-bu2env-kms-ggzm/serviceAccounts/project-service-account@prj-p-bu2env-kms-ggzm.iam.gserviceaccount.com","iam.ServiceAccount","prj-p-bu2env-kms-ggzm","prj-p-bu2env-kms Project Service Account","null","null","ENABLED","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2env-kms-ggzm","[]","[]","","","{}","[]","{email:project-service-account@prj-p-bu2env-kms-ggzm.iam.gserviceaccount.com,uniqueId:113926515440575039030}"
"//compute.googleapis.com/projects/prj-p-bu2env-kms-ggzm","compute.Project","prj-p-bu2env-kms-ggzm","prj-p-bu2env-kms-ggzm","2024-03-18T19:58:13Z","null","","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2env-kms-ggzm","[]","[]","","global","{}","[]","{xpnProjectStatus:UNSPECIFIED_XPN_PROJECT_STATUS}"
"//iam.googleapis.com/projects/prj-p-bu2env-kms-ggzm/serviceAccounts/695404778709-compute@developer.gserviceaccount.com","iam.ServiceAccount","prj-p-bu2env-kms-ggzm","Compute Engine default service account","null","null","DISABLED","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2env-kms-ggzm","[]","[]","","","{}","[]","{email:695404778709-compute@developer.gserviceaccount.com,uniqueId:104521039206883687586}"
